9
5
396 107
618 198
803 254
983 296
1169 330
5
483 425
656 479
820 524
985 565
1157 605
5
514 659
671 706
825 751
980 795
1143 841
5
525 864
674 910
821 956
971 1005
1129 1058
5
525 1055
667 1103
810 1154
957 1208
1112 1270
5
513 1245
654 1295
794 1351
939 1413
1093 1486
5
487 1440
628 1495
769 1558
914 1632
1068 1723
7
396 107
483 425
514 659
525 864
525 1055
513 1245
487 1440
7
1169 330
1157 605
1143 841
1129 1058
1112 1270
1093 1486
1068 1723


1529 361
1667 358
1794 352
1915 341
1493 630
1624 615
1743 599
1855 583
1465 861
1591 835
1705 811
1812 788
1442 1075
1565 1038
1677 1005
1781 975
1422 1283
1544 1234
1654 1191
1757 1153
1404 1495
1527 1431
1636 1377
1738 1330
1388 1725
1512 1639
1623 1570
1724 1511
