2592
1944
598.38	302.94
721.03	316.74
856.95	332.55
1008.08	350.29
1176.5	370.1
1514.44	398.21
1640.16	403.68
1749.48	408.01
1846.16	411.91
595.23	501.08
716.43	524.99
849.63	551.53
996.8	580.97
1159.88	613.29
1817.84	608.63
1721.3	617.02
1612.63	626.62
1488.37	637.31
593.9	691.36
712.77	723.72
843.14	759.55
986.33	798.69
1790.3	796.23
1694.28	815.56
1144.44	841.77
1586.63	837.22
1464.16	861.76
592.35	873.47
708.82	913.29
836.48	956.93
1764.55	975.01
976.06	1005.05
1669.08	1004.13
1562.4	1037.3
591.26	1048.41
1129.77	1057.98
1441.33	1074.49
704.23	1095.62
828.71	1146.67
1740.55	1146.7
1645.55	1185.3
965.71	1202.44
589.94	1217.74
1539.6	1228.45
1115.71	1264.42
701.24	1270.79
1420.13	1277.54
1717.62	1313.37
822.8	1328.91
1623.25	1360.05
588.16	1381.19
955.88	1392.83
1518.24	1413.02
697.12	1440.67
1101.72	1463.46
1400.01	1473.38
1695.24	1474.26
816.15	1505.63
1601.81	1529.89
946.13	1576.9
1497.71	1591.72
1088.25	1655.7
1380.72	1662.24
